school_id,school_name,education_level,latitude,longitude
399,EBF 1.2 Macalako,Basic,-8.585170,126.521120
394,EBF 1.2 Maluro Samarogo,Basic,-8.678450,126.515150
357,EBF 1.2 Maucale,Basic,-8.560200,126.415760
379,EBF 1.2 Mulia,Basic,-8.484350,126.563240
1116,EBF 1.2 Osso-Lia,Basic,-8.630160,126.561280
407,EBF 1.2 Ossoala/Hoineuai,Basic,-8.585070,126.338420
2294,EBF 1.2 Ossogori,Basic,-8.675160,126.433730
404,EBF 1.2 Ostico,Basic,-8.534674,126.335067
748,EBF 1.2 Quelicai Antigo,Basic,-8.549650,126.603800
418,EBF 1.2 Saelari,Basic,-8.637190,126.439070
352,EBF 1.2 Samalari,Basic,-8.520647,126.471452
2292,EBF 1.2 Saraida,Basic,-8.621270,126.543540
368,EBF 1.2 Seical,Basic,-8.476100,126.522000
675,EBF 1.2 Selegua,Basic,-8.527020,126.683480
403,EBF 1.2 Tasi Vemasse/Vila,Basic,-8.515314,126.202387
362,EBF 1.2 Teulale,Basic,-8.453800,126.456280
2274,EBF 1.2 Uacala/Baguia,Basic,-8.566910,126.737789
1113,EBF 1.2 Uadaboru,Basic,-8.598970,126.648611
2290,EBF 1.2 Uaiculo,Basic,-8.569860,126.576520
2289,EBF 1.2 Uaida,Basic,-8.666490,126.533610
406,EBF 1.2 Uaigae,Basic,-8.581642,126.209170
369,EBF 1.2 Uainau/Bucoli,Basic,-8.491144,126.359837
421,EBF 1.2 Uaioli,Basic,-8.663910,126.414660
420,EBF 1.2 Uatuhaco,Basic,-8.643334,126.377286
360,EBF 1.2 Vila nova Baucau,Basic,-8.479373,126.454078
241,EBF 1.2.3 - 20 de Agosto Ossaluga,Basic,-8.567740,126.443340
2323,EBF 1.2.3 Larisula,Basic,-8.661800,126.737260
381,EBF 1.2.3 Samaguia,Basic,-8.496230,126.598170
974,EBF 1.2.3 Samalari,Basic,-8.506304,126.671065
397,EBF 1.2.3 Uaitame,Basic,-8.590280,126.570150
876,EBF 1.2.3 Uatumissa,Basic,-8.672620,126.424211
5292,EBF 1.2.Rufaguia,Basic,-8.628060,126.661020
756,EBF 3 Baguia,Basic,-8.628037,126.653834
227,EBF 3 Daitula Maucale,Basic,-8.559564,126.415116
754,EBF 3 Sagadate,Basic,-8.523464,126.694207
980,EBF 3 Uailaco,Basic,-8.633090,126.443581
726,EBF 3 Vemasse,Basic,-8.510382,126.214759
1173,EBF Catolica 1 Queze / Auraba,Basic,-8.479900,126.628200
2284,EBF Catolica 1 Uaisa,Basic,-8.446980,126.357130
2287,EBF Catolica 1.2 Buiguira,Basic,-8.449340,126.641960
355,EBF Catolica 1.2 Desagua,Basic,-8.498600,126.676820
377,EBF Catolica 1.2 Lalabu,Basic,-8.542300,126.721160
2286,EBF Catolica 1.2 Lalulai,Basic,-8.508760,126.678320
